# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
xie 	鞋	c=1 d=1 t=15624
xie cheng 	寫成	c=1 d=1 t=33275
xie cheng le 	寫成了	c=1 d=1 t=11391
xie cuo 	寫錯	c=0 d=0.1 t=11381
xie cuo le 	寫錯了	c=3 d=1 t=37830
xie dai ma 	写代碼	c=2 d=1.05613 t=33835
xie dao 	寫到	c=3 d=1 t=31921
xie de 	寫的	c=23 d=1.00006 t=44429
xie fa 	寫法	c=3 d=1 t=26536
xie fang cha 	協方差	c=2 d=1 t=13748
xie ge 	寫個	c=8 d=1.00015 t=44083
xie guo 	寫過	c=1 d=1 t=8717
xie hao le 	写好了	c=2 d=1 t=35478
xie le 	寫了	c=15 d=1.00355 t=43936
xie lou 	泄漏	c=1 d=1 t=22739
xie lu 	泄露	c=1 d=1 t=35637
xie ru 	寫入	c=4 d=1 t=39894
xie shang 	寫上	c=1 d=1 t=18665
xie tiao 	協調	c=5 d=2.64169 t=34831
xie tong 	協同	c=3 d=1.28016 t=17549
xie wan 	寫完	c=2 d=1.00091 t=41641
xie xie 	寫寫	c=2 d=1 t=39297
xie xie 	謝謝	c=32 d=1.00172 t=44471
xie yi 	協議	c=1 d=1 t=19833
xie zai 	卸載	c=13 d=1 t=35422
xie zhu 	協助	c=1 d=1 t=17988
xin 	信	c=1 d=1 t=18949
xin 	新	c=27 d=1.26982 t=43550
xin 	鑫	c=3 d=1.00001 t=25219
xin ban 	新版	c=9 d=1.34234 t=20969
xin ban ben 	新版本	c=1 d=1 t=2740
xin bu zai yan 	心不在焉	c=1 d=1 t=35709
xin de 	新的	c=18 d=1.25848 t=43318
xin fu qi zao 	心浮氣躁	c=1 d=1 t=35288
xin hao 	信號	c=1 d=1 t=40503
xin jia po 	新加坡	c=1 d=1 t=33333
xin jiang 	新疆	c=1 d=1 t=16655
xin kai 	新開	c=1 d=1 t=42264
xin ku 	辛苦	c=14 d=1 t=38874
xin neng yuan 	新能源	c=2 d=1.99501 t=41508
xin pian 	芯片	c=19 d=1.03688 t=41839
xin qing 	心情	c=3 d=1.00706 t=36816
xin ren 	信任	c=1 d=1 t=39208
xin ren xin shi 	新人新事	c=4 d=2.84814 t=43055
xin ru zhi 	新入職	c=1 d=1 t=3376
xin sheng 	心聲	c=1 d=1 t=7518
xin sheng she qu 	心声社区	c=4 d=2.27074 t=7624
xin shou 	新手	c=1 d=1 t=4537
xin wen 	新聞	c=1 d=1 t=25151
xin xi 	信息	c=23 d=3.77066 t=42702
xin xi wang 	新希望	c=2 d=1.00892 t=10453
xin xin ku ku 	辛辛苦苦	c=1 d=1 t=40689
xin zeng 	新增	c=2 d=1 t=38761
xin zi 	薪資	c=1 d=1 t=7138
xing 	行	c=8 d=1 t=40004
xing bu xing 	行不行	c=1 d=1 t=19772
xing cheng 	形成	c=1 d=1 t=9259
xing jia bi 	性價比	c=2 d=1.99005 t=41829
xing lai 	醒來	c=1 d=1 t=2761
xing le 	行了	c=8 d=1.01897 t=41601
xing ming 	姓名	c=1 d=1 t=30334
xing neng 	性能	c=38 d=1.00035 t=42628
xing qu 	興趣	c=1 d=1 t=33867
xing shi 	形勢	c=1 d=1 t=15666
xing shi 	形式	c=21 d=1 t=37286
xing zheng 	行政	c=1 d=1 t=7625
xiong wei 	雄偉	c=1 d=1 t=43079
xiong zhang 	熊掌	c=1 d=1 t=40594
xiu 	修	c=9 d=1.00045 t=31776
xiu bu 	修補	c=1 d=1 t=856
xiu fu 	修復	c=22 d=1.0002 t=38381
xiu gai 	修改	c=25 d=1.00001 t=41857
xiu gai le 	修改了	c=1 d=1 t=29001
xiu hao 	修好	c=3 d=1 t=40177
xiu hao le 	修好了	c=1 d=1 t=6171
xiu li 	修理	c=1 d=1 t=36966
xiu xi 	休息	c=1 d=1 t=15462
xiu zheng 	修正	c=3 d=1.29969 t=13963
xu 	徐	c=2 d=1 t=7451
xu 	需	c=0 d=0.1 t=3192
xu duo 	許多	c=2 d=1 t=22722
xu fei 	續費	c=1 d=1 t=10017
xu han shu 	序函数	c=1 d=1 t=30763
xu lie 	序列	c=6 d=1.00484 t=42980
xu lie hao 	序列號	c=1 d=1 t=28972
xu lie hua 	序列化	c=7 d=1.00264 t=42730
xu ni 	虛擬	c=3 d=1 t=42223
xu ni ji 	虛擬機	c=105 d=1 t=42262
xu ni ji huan jing 	虛擬機環境	c=1 d=1 t=39035
xu ni zhuo mian 	虚拟桌面	c=1 d=1 t=32362
xu qiu 	需求	c=18 d=1.03877 t=44270
xu yao 	需要	c=128 d=2.93207 t=43800
xuan 	选	c=7 d=1 t=28531
xuan ding 	選定	c=1 d=1 t=3274
xuan qu 	選取	c=1 d=1 t=4968
xuan xiang 	選項	c=2 d=1 t=42610
xuan ze 	選擇	c=20 d=1 t=32646
xue 	学	c=4 d=1 t=39593
xue 	雪	c=2 d=1.70822 t=41332
xue dian 	學點	c=1 d=1 t=23871
xue qiu 	雪球	c=7 d=1 t=33876
xue sheng 	學生	c=1 d=1 t=15592
xue xi 	學系	c=1 d=1 t=14897
xue xi 	學習	c=35 d=1.916 t=35590
xue xiao 	學校	c=3 d=1 t=25163
xun huan 	循環	c=11 d=1 t=31711
xun lian 	訓練	c=14 d=1.81066 t=37033
xun zhao 	尋找	c=10 d=1 t=34116
xun zhi 	尋址	c=1 d=1 t=6725
ya 	呀	c=8 d=0.99005 t=44474
ya 	鸭	c=1 d=1 t=1088
ya gen 	壓根	c=2 d=1 t=28571
ya li 	壓力	c=4 d=1 t=37946
ya ma 	亞麻	c=2 d=1 t=42032
ya ma xun 	亞馬遜	c=8 d=1.02317 t=42278
ya po 	壓迫	c=2 d=1.99501 t=30540
ya ru 	雅儒	c=1 d=1 t=24377
ya suo 	壓縮	c=6 d=1 t=38568
ya yun hui 	亞運會	c=1 d=1 t=788
yan chi 	延遲	c=1 d=1 t=40742
yan fa 	研發	c=2 d=1 t=26263
yan hua 	煙花	c=1 d=1 t=41072
yan jiao 	眼角	c=1 d=1 t=7632
yan jiu 	研究	c=2 d=1.44486 t=25171
yan shi 	演示	c=2 d=1.94649 t=17411
yan su 	嚴肅	c=1 d=1 t=1347
yan yao shui 	眼藥水	c=1 d=1 t=5999
yan zheng 	驗證	c=19 d=1 t=44043
yan zhong 	嚴重	c=3 d=1 t=15640
yang 	杨	c=10 d=1 t=43056
yang 	阳	c=1 d=1 t=283
yang ben 	樣本	c=5 d=1.17124 t=37488
yang jie chi 	楊潔篪	c=1 d=1 t=16260
yang li 	陽曆	c=1 d=1 t=16203
yang mao 	羊毛	c=1 d=1 t=41164
yao 	姚	c=1 d=1 t=39410
yao 	药	c=1 d=1 t=336
yao 	要	c=290 d=3.31746 t=44459
yao ba 	要把	c=1 d=1 t=9249
yao bu 	要不	c=3 d=1 t=40218
yao bu ran 	要不然	c=27 d=1.92153 t=43153
yao bu rang 	要不让	c=2 d=1.99005 t=12234
yao bu yao 	要不要	c=4 d=1 t=33538
yao de 	要得	c=1 d=1 t=15659
yao de 	要的	c=1 d=1 t=33403
yao kan kan 	要看看	c=1 d=1 t=35862
yao qiu 	要求	c=5 d=1 t=39111
yao qu 	要去	c=2 d=1 t=39842
yao shi 	要是	c=12 d=1 t=40485
yao ye 	藥業	c=3 d=2.25067 t=285
yao yong 	要用	c=6 d=1 t=41671
yao zai 	要在	c=2 d=1 t=24949
yao zhan 	腰斬	c=1 d=1 t=31734
ye 	也	c=185 d=0.97531 t=44474
ye 	叶	c=3 d=1.06329 t=24449
ye 	野	c=1 d=1 t=44033
ye bu 	也不	c=1 d=1 t=22604
ye bu shi 	也不是	c=2 d=1 t=26765
ye bu zhi dao 	也不知道	c=4 d=1 t=41368
ye huang su 	葉黃素	c=1 d=1 t=6000
ye hui 	也會	c=1 d=1 t=29426
ye ji 	業績	c=2 d=1.81465 t=10611
ye jie 	業界	c=1 d=1 t=33467
ye jiu 	也就	c=1 d=1 t=41666
ye jiu shi 	也就是	c=1 d=1 t=30707
ye ke neng 	也可能	c=1 d=1 t=25435
ye ke yi 	也可以	c=7 d=1 t=44437
ye lai 	也來	c=1 d=1 t=7970
ye lu zi 	野路子	c=1 d=1 t=31511
ye lun 	耶伦	c=1 d=1 t=7139
ye mei 	也沒	c=0 d=0.1 t=502
ye mei ren 	也沒人	c=1 d=1 t=21322
ye mei sa 	也没撒	c=1 d=1 t=32042
ye mei shao 	也沒少	c=1 d=1 t=503
ye mei you 	也沒有	c=2 d=1.00126 t=30084
ye mian 	頁面	c=2 d=1 t=19182
ye nei 	業內	c=1 d=1 t=10156
ye qu 	也去	c=2 d=1 t=35041
ye sheng 	野生	c=1 d=1 t=33342
ye shi 	也是	c=35 d=1.00006 t=43152
ye shi ge 	也是個	c=1 d=1 t=36826
ye shuo 	也說	c=1 d=1 t=20385
ye wu 	業務	c=1 d=1 t=25693
ye xing 	也行	c=2 d=1 t=32336
ye yao 	也要	c=11 d=1 t=43928
ye you 	也有	c=5 d=0.941765 t=44474
ye yu 	業餘	c=1 d=1 t=43680
ye zai 	也在	c=3 d=1 t=43166
ye zhen shi 	也真是	c=1 d=1 t=15724
ye zhi shi 	也只是	c=1 d=1 t=12169
ye zhi you 	也只有	c=1 d=1 t=24425
yi 	一	c=17 d=1.01472 t=43627
yi 	义	c=1 d=1 t=2728
yi 	亿	c=1 d=1 t=26461
yi 	以	c=19 d=1 t=42310
yi 	益	c=3 d=1.56035 t=8754
yi ban 	一般	c=15 d=1.01902 t=41274
yi bei 	一倍	c=1 d=1 t=26750
yi bian 	一遍	c=2 d=1 t=25339
yi bo 	一波	c=2 d=0.1 t=30309
yi bu 	異步	c=2 d=1.00245 t=40573
yi bu fen 	一部分	c=2 d=1 t=43105
yi chang 	異常	c=15 d=1 t=43593
yi chu 	溢出	c=6 d=1.89137 t=24427
yi ci 	一次	c=28 d=0.667637 t=38472
yi ci a 	一次阿	c=1 d=1 t=38473
yi dai 	一代	c=1 d=1 t=9878
yi dan 	一旦	c=2 d=1 t=30572
yi dian 	一點	c=14 d=1 t=39582
yi dian dian 	一點點	c=2 d=1 t=35901
yi dian yi di 	一點一滴	c=1 d=1 t=33877
yi ding 	一定	c=5 d=1 t=27247
yi ding 	一頂	c=1 d=1 t=43804
yi ding de 	一定的	c=1 d=1 t=14663
yi dong 	移動	c=1 d=1 t=32015
yi du 	一度	c=1 d=1 t=40361
yi duan 	一段	c=3 d=1 t=31203
yi dui 	一堆	c=8 d=1.44581 t=43783
yi dui 	一對	c=1 d=1 t=16382
yi fen 	一份	c=10 d=2.37728 t=38531
yi fen zhong 	一分鐘	c=1 d=1 t=16859
yi fu 	姨父	c=1 d=1 t=36385
yi ge 	一個	c=256 d=1.15715 t=44291
yi ge ge 	一個個	c=5 d=1.93718 t=43552
yi ge ren 	一個人	c=1 d=1 t=41314
yi ge yue 	一個月	c=1 d=1 t=41403
yi gong 	一共	c=3 d=1 t=41752
yi gou 	異構	c=51 d=1.97045 t=44467
yi gu 	一股	c=1 d=1 t=35175
yi ha 	一哈	c=1 d=1 t=38301
yi hang 	一行	c=11 d=1 t=40199
yi hao 	一號	c=8 d=1 t=24145
yi hao ji qi 	一號機器	c=1 d=1 t=18847
yi hou 	以後	c=33 d=1.0061 t=43306
yi hui er 	一會兒	c=4 d=1 t=43829
yi ji 	一級	c=1 d=1 t=20768
yi ji 	以及	c=16 d=1 t=34691
yi jian 	意見	c=2 d=1.49907 t=34874
yi jing 	已經	c=87 d=1.41254 t=43992
yi ju 	一句	c=2 d=1.00038 t=8445
yi kai shi 	一開始	c=10 d=1.00235 t=36540
yi kan 	一看	c=2 d=1 t=32917
yi kao 	依靠	c=3 d=1 t=17153
yi ke 	一刻	c=1 d=1 t=26890
yi kuai 	一塊	c=8 d=1 t=44127
yi kuan 	一款	c=1 d=1 t=19263
yi lai 	依賴	c=50 d=1.12809 t=44173
yi lang 	伊朗	c=1 d=1 t=19832
yi liao 	醫療	c=6 d=2.15559 t=11164
yi lie 	一列	c=2 d=1 t=38760
yi lun 	一輪	c=2 d=1 t=23192
yi miao 	疫苗	c=2 d=1.88692 t=18892
yi mo yi yang 	一模一樣	c=1 d=1 t=16533
yi ng 	咿唔	c=1 d=1 t=38629
yi pao 	一跑	c=3 d=0.1 t=31888
yi pao qi lai 	一跑起來	c=1 d=1 t=31889
yi pi 	一批	c=1 d=1 t=43025
yi qi 	一起	c=12 d=1.00023 t=42101
yi qian 	以前	c=2 d=1 t=18177
yi qian kuai 	一千塊	c=1 d=1 t=31624
yi qie 	一切	c=1 d=1 t=35290
yi qing 	疫情	c=3 d=1 t=15641
yi quan 	一圈	c=3 d=1 t=38163
yi ren 	一人	c=2 d=1.00003 t=32311
yi se lie 	以色列	c=1 d=1 t=35230
yi shan lu 	宜山路	c=1 d=1 t=42901
yi shang 	以上	c=14 d=1.01935 t=37809
yi sheng 	一聲	c=3 d=1 t=39753
yi si 	意思	c=2 d=1 t=30060
yi tai 	一臺	c=2 d=0.122483 t=42140
yi tang 	一趟	c=1 d=1 t=40235
yi tao 	一套	c=3 d=1 t=44222
yi tao le 	一套了	c=1 d=1 t=16796
yi tian dao wan 	一天到晚	c=1 d=1 t=32038
yi tian tian 	一天天	c=2 d=1 t=39222
yi tiao 	一條	c=1 d=1 t=19624
yi wai 	以外	c=3 d=1 t=32925
yi wai 	意外	c=1 d=1 t=27796
yi wan shang 	一晚上	c=2 d=1 t=40901
yi wei 	以爲	c=5 d=1 t=42521
yi wu 	義務	c=0 d=0.1 t=30056
yi wu suo zhi 	一無所知	c=1 d=1 t=39821
yi xia 	一下	c=521 d=1 t=44474
yi xia 	以下	c=9 d=1 t=25856
yi xia ba 	一下吧	c=1 d=1 t=41282
yi xie 	一些	c=88 d=1.32711 t=43192
yi yan 	一眼	c=1 d=1 t=37306
yi yang 	一樣	c=44 d=1.01526 t=44278
yi yi 	意義	c=4 d=1 t=42229
yi yuan 	醫院	c=3 d=1 t=41698
yi zhang 	一張	c=1 d=0.1 t=39531
yi zhang ka 	一張卡	c=2 d=1.0056 t=40569
yi zhen feng 	一陣風	c=1 d=1 t=31737
yi zhi 	一直	c=3 d=1 t=22419
yi zhi 	一致	c=13 d=1.00075 t=38882
yi zhi 	一隻	c=1 d=1 t=12603
yi zhi 	已知	c=2 d=1 t=14032
yi zhi 	抑制	c=1 d=1 t=15638
yi zhong 	一種	c=5 d=1 t=38726
yi zhou 	一週	c=1 d=1 t=25545
yi zhou qian 	一週前	c=2 d=1 t=38211
yi zu 	一組	c=4 d=1.97531 t=28442
yin cang 	隱藏	c=5 d=2.70046 t=40590
yin ci 	因此	c=28 d=1.09934 t=29042
yin hang 	銀行	c=2 d=1 t=31859
yin hang gao ge 	引吭高歌	c=1 d=1 t=40317
yin hang gu 	銀行股	c=1 d=1 t=11489
yin ru 	引入	c=5 d=1.00195 t=34719
yin su 	因素	c=2 d=1 t=14738
yin wei 	因爲	c=25 d=1 t=42366
yin yong 	引用	c=4 d=1 t=24093
yin yue 	音乐	c=1 d=1 t=12541
ying 	影	c=1 d=1 t=37358
ying 	硬	c=3 d=1.02262 t=8434
ying 	英	c=4 d=1 t=38988
ying 	莹	c=7 d=1.02447 t=35364
ying 	赢	c=1 d=1 t=16058
ying fu 	應付	c=1 d=1 t=6890
ying gai 	應該	c=102 d=1.42436 t=44335
ying gai shi 	應該是	c=9 d=1 t=42257
ying jian 	硬件	c=21 d=1.00008 t=35219
ying lai 	迎來	c=1 d=1 t=34731
ying pan 	硬盤	c=8 d=1.9216 t=44474
ying she 	映射	c=18 d=1.50158 t=42713
ying wei 	應爲	c=1 d=1 t=28121
ying wen 	英文	c=64 d=1 t=41393
ying xiang 	影響	c=25 d=1.12027 t=41022
ying yong 	應用	c=1 d=1 t=2725
yong 	勇	c=9 d=1.3624 t=42755
yong 	永	c=12 d=1 t=42424
yong 	用	c=148 d=1.14748 t=44404
yong ba 	用吧	c=2 d=1.02271 t=22873
yong dao 	用到	c=2 d=1 t=41950
yong de 	用的	c=30 d=1.3399 t=44417
yong guo 	用過	c=1 d=1 t=18178
yong hao le 	用好了	c=1 d=1 t=17001
yong hu 	用戶	c=17 d=1.0588 t=44312
yong hu ming 	用戶名	c=3 d=1 t=30258
yong lai 	用來	c=3 d=1 t=21086
yong le 	用了	c=4 d=1 t=37191
yong ma 	用吗	c=1 d=1 t=32375
yong qi lai 	用起來	c=1 d=1 t=39580
yong shen me 	用什麼	c=1 d=1 t=2613
yong ta 	用它	c=1 d=1 t=12144
yong wan 	用完	c=4 d=1 t=42250
yong yi xia 	用一下	c=1 d=1 t=41979
yong yu 	用于	c=3 d=2.87912 t=42593
yong yuan 	永远	c=2 d=1 t=43510
yong zhe 	用着	c=1 d=1 t=43842
you 	又	c=36 d=1.00105 t=41340
you 	有	c=295 d=3.39519 t=44430
you 	油	c=1 d=1 t=33329
you bi yao 	有必要	c=1 d=1 t=26433
you bu shao 	有不少	c=1 d=1 t=4619
you cha bie 	有差別	c=1 d=1 t=31195
you dang 	遊蕩	c=1 d=1 t=4717
you de 	有的	c=5 d=1 t=39737
you dian 	有點	c=45 d=1.36426 t=44075
you du 	有毒	c=1 d=1 t=12754
you ge 	有個	c=52 d=1.00011 t=43416
you ge ren 	有個人	c=2 d=1.79057 t=12405
you guan 	有關	c=1 d=1 t=30670
you guan xi 	有關係	c=2 d=1 t=23632
you hao 	友好	c=1 d=1 t=4539
you hua 	優化	c=40 d=1.00046 t=44297
you huo er 	有活儿	c=1 d=1 t=20483
you ji 	郵寄	c=1 d=1 t=30936
you ji cun qi 	有寄存器	c=1 d=1 t=29239
you jian 	郵件	c=10 d=1 t=31245
you ke neng 	有可能	c=13 d=1 t=44398
you keng 	油坑	c=0 d=0.1 t=21813
you keng ne 	油坑呢	c=1 d=1 t=21814
you kong 	有空	c=12 d=1 t=41565
you kong ne ne 	有空訥訥	c=1 d=1 t=14751
you le 	有了	c=1 d=1 t=11127
you li 	遊離	c=1 d=1 t=331
you mei you 	有沒有	c=33 d=1 t=42360
you qian 	有錢	c=2 d=1 t=35032
you qu bie 	有區別	c=1 d=1 t=22311
you ren 	有人	c=3 d=1 t=32408
you sha 	有啥	c=4 d=1 t=39827
you shen me 	有什麼	c=5 d=1.58275 t=40472
you shi 	優勢	c=6 d=1 t=42129
you shi hou 	有時候	c=8 d=1 t=44079
you suo 	有所	c=1 d=1 t=3906
you wen ta 	有问他	c=16 d=1 t=33095
you wen ti 	有問題	c=1 d=1 t=9087
you wen ti de 	有問題的	c=1 d=1 t=1318
you xi 	遊戲	c=0 d=0.1 t=2922
you xi ei 	遊戲诶	c=1 d=1 t=2923
you xian 	優先	c=1 d=1 t=29772
you xian 	有限	c=2 d=1 t=28128
you xian ji 	優先級	c=1 d=1 t=31933
you xiang 	郵箱	c=1 d=1 t=12579
you xiao 	有效	c=1 d=1 t=32658
you xiao wei 	有效位	c=1 d=1 t=16658
you xie 	有些	c=50 d=1.05348 t=43706
you yao 	又要	c=6 d=1 t=40173
you yi ci 	有一次	c=1 d=1 t=38228
you yi dian 	有一點	c=1 d=1 t=24357
you yi ge 	有一個	c=10 d=1.00002 t=31073
you yi si 	有意思	c=1 d=1 t=12486
you yi tai 	有一臺	c=1 d=1 t=42141
you yi xie 	有一些	c=6 d=1 t=41096
you you 	又有	c=4 d=1.18452 t=30438
you yu 	憂鬱	c=1 d=1 t=15316
you yu 	由于	c=4 d=1 t=29029
you yue 	優越	c=2 d=1.84789 t=13224
yu 	于	c=6 d=1.94649 t=36197
yu 	余	c=4 d=1.01164 t=43919
yu 	域	c=1 d=1 t=8494
yu 	寓	c=27 d=1.91851 t=40668
yu 	语	c=4 d=1 t=40224
yu 	雨	c=2 d=1.75957 t=963
yu 	鱼	c=1 d=1 t=40592
yu ce 	預測	c=2 d=1 t=13970
yu chu li 	預處理	c=2 d=1.03801 t=37045
yu dao 	遇到	c=17 d=1 t=40061
yu dao guo 	遇到過	c=1 d=1 t=32953
yu fa 	語法	c=1 d=1 t=44147
yu fa shu 	語法書	c=2 d=1.00022 t=14578
yu fang 	預防	c=2 d=1 t=30208
yu ju 	語句	c=1 d=1 t=14625
yu kuai 	愉快	c=1 d=1 t=15099
yu lai 	愈來	c=1 d=1 t=13716
yu liu 	預留	c=1 d=1 t=30927
yu men 	鬱悶	c=1 d=1 t=36817
yu ming 	域名	c=13 d=1 t=41268
yu qi 	預期	c=2 d=1 t=16043
yu yan 	語言	c=2 d=1.00222 t=44255
yu zhou 	宇宙	c=1 d=1 t=27477
yuan 	元	c=3 d=1 t=28481
yuan 	媛	c=3 d=1.99005 t=32169
yuan 	援	c=1 d=1 t=7690
yuan 	源	c=4 d=1.00001 t=35638
yuan 	袁	c=48 d=2.73536 t=42485
yuan 	远	c=2 d=1.99005 t=18674
yuan cheng 	遠程	c=1 d=1 t=7675
yuan dai ma 	源代碼	c=1 d=1 t=25849
yuan gong 	員工	c=2 d=1 t=43551
yuan lai 	原來	c=14 d=2.22888 t=43455
yuan lai ru ci 	原來如此	c=2 d=1.99501 t=7974
yuan lao sai 	元老赛	c=1 d=1 t=1762
yuan li 	原理	c=2 d=1.99954 t=2724
yuan li 	遠離	c=1 d=1 t=33795
yuan li shang 	原理上	c=1 d=1 t=2106
yuan ma 	源碼	c=6 d=1.79453 t=30769
yuan ming yuan 	圓明園	c=1 d=1 t=1081
yuan sheng 	原生	c=3 d=1 t=28198
yuan sheng 	原聲	c=1 d=1 t=12483
yuan shi 	原始	c=7 d=1.93239 t=28833
yuan yin 	原因	c=14 d=1.98511 t=38206
yuan ze 	原則	c=1 d=1 t=15226
yuan ze shang 	原則上	c=1 d=0.965605 t=44474
yue 	月	c=4 d=1 t=30446
yue 	约	c=1 d=1 t=22825
yue 	越	c=7 d=1.99005 t=37082
yue ding 	约定	c=1 d=1 t=36566
yue du 	閱讀	c=4 d=1.00484 t=9543
yue du qi 	閱讀器	c=1 d=1 t=9539
yue duo 	越多	c=2 d=1.00307 t=13718
yue gao 	越高	c=1 d=1 t=13562
yue kan 	越看	c=1 d=1 t=31061
yue lai 	越來	c=10 d=1.05813 t=31401
yue shu 	約數	c=3 d=1.7827 t=28459
yun 	云	c=16 d=1.02164 t=42279
yun 	晕	c=1 d=1 t=37913
yun 	运	c=1 d=1 t=32640
yun fu wu qi 	云服務器	c=1 d=1 t=41401
yun he 	運河	c=1 d=1 t=19058
yun suan 	運算	c=3 d=1.20934 t=29363
yun xing 	運行	c=24 d=1.06361 t=40723
yun xu 	允許	c=4 d=1 t=12124
za 	咋	c=20 d=1 t=44070
za 	杂	c=1 d=1 t=13765
za le 	咋勒	c=1 d=1 t=40110
za shi 	雜事	c=1 d=1 t=20678
za yong 	雜用	c=1 d=1 t=3685
zai 	再	c=153 d=1.36742 t=44396
zai 	在	c=468 d=1.71433 t=44474
zai bu 	在不	c=2 d=1 t=24258
zai hao 	再好	c=1 d=1 t=35073
zai jia 	在家	c=2 d=1.00267 t=1954
zai kan kan 	再看看	c=1 d=1 t=22663
zai ma 	在嗎	c=13 d=1 t=44154
zai ma 	在馬	c=1 d=1 t=18637
zai nan 	災難	c=1 d=1 t=6455
zai ni 	宰你	c=1 d=1 t=18924
zai shuo 	再說	c=2 d=1 t=34186
zai wo 	在我	c=1 d=1 t=18791
zai xian 	在線	c=4 d=1 t=43313
zai you 	再有	c=1 d=1 t=2091
zan 	攒	c=2 d=1 t=43794
zan cun 	暫存	c=1 d=1 t=18108
zan men 	咱們	c=2 d=1.23931 t=34845
zan shi 	暫時	c=29 d=1.99501 t=43743
zan ting 	暫停	c=6 d=1 t=22559
zao 	早	c=9 d=1 t=43024
zao bao 	早報	c=56 d=1.75836 t=42500
zao cheng 	造成	c=4 d=1 t=40384
zao dian 	早點	c=6 d=1.12802 t=35722
zao hui 	早會	c=1 d=1 t=609
zao qi 	早期	c=6 d=2.10177 t=14679
zao ri 	早日	c=1 d=1 t=1048
zao shang 	早上	c=28 d=1 t=43468
ze 	则	c=5 d=2.4383 t=17274
ze guai 	責怪	c=1 d=1 t=20304
zen me 	怎麼	c=48 d=1.94649 t=43938
zen me ban 	怎麼辦	c=3 d=1 t=35633
zen me da 	怎麼打	c=1 d=1 t=21514
zen me ke neng 	怎麼可能	c=1 d=1 t=39187
zen me le 	怎麼了	c=3 d=1.00647 t=42927
zen me shuo 	怎麼說	c=5 d=1 t=44106
zen me yang 	怎麼樣	c=10 d=1 t=42110
zeng 	曾	c=3 d=1 t=35444
zeng jia 	增加	c=14 d=1 t=38759
zeng qiang 	增強	c=1 d=1 t=43193
zha 	渣	c=1 d=1 t=43506
zha gan 	榨乾	c=1 d=1 t=1001
zha wo 	炸窩	c=1 d=1 t=32972
zhai 	窄	c=2 d=1.94649 t=38557
zhai yao 	摘要	c=2 d=1 t=34157
zhan 	栈	c=2 d=1 t=31979
zhan di 	栈底	c=1 d=1 t=8086
zhan dian 	站點	c=2 d=1 t=13337
zhan kai 	展開	c=6 d=1 t=43210
zhan yong 	佔用	c=22 d=1.00002 t=42665
zhan yong le 	佔用了	c=1 d=1 t=15890
zhan zai 	站在	c=1 d=1 t=33753
zhan zhang zhi jia 	站长之家	c=1 d=1 t=7162
zhang 	张	c=7 d=1 t=41373
zhang 	涨	c=4 d=1.0001 t=35690
zhang dan 	賬單	c=1 d=1 t=33348
zhang de 	长得	c=1 d=1 t=39407
zhang die 	漲跌	c=1 d=1 t=13144
zhang fu 	漲幅	c=1 d=1 t=32018
zhang hao 	帳號	c=50 d=1.88276 t=43964
zhang lei 	張磊	c=1 d=1 t=43380
zhao 	找	c=66 d=2.8678 t=43982
zhao 	招	c=7 d=2.06999 t=18294
zhao 	罩	c=1 d=1 t=39254
zhao 	赵	c=4 d=1.98511 t=34276
zhao bu dao 	照不到	c=9 d=1.00005 t=38540
zhao chu lai 	找出來	c=4 d=1 t=42971
zhao dai 	招待	c=2 d=1.98511 t=42910
zhao dao 	找到	c=25 d=1.00199 t=39710
zhao dao le 	照倒了	c=1 d=1 t=14957
zhao ge 	找個	c=10 d=1.00102 t=36243
zhao hu 	招呼	c=1 d=1 t=24503
zhao hui lv 	找匯率	c=1 d=1 t=7313
zhao ji 	着急	c=2 d=1 t=26626
zhao le 	找了	c=2 d=1 t=20621
zhao ni 	找你	c=14 d=1 t=44155
zhao shang 	招商	c=1 d=1 t=31858
zhao ta 	找他	c=1 d=1 t=23151
zhao wo 	找我	c=11 d=1 t=43478
zhao yi xia 	找一下	c=1 d=1 t=1931
zhao zhao 	找找	c=1 d=1 t=33341
zhe 	着	c=5 d=1.00001 t=43682
zhe 	者	c=3 d=2.42116 t=5337
zhe 	这	c=93 d=2.7653 t=44457
zhe bang 	這幫	c=1 d=1 t=27521
zhe bian 	這邊	c=99 d=3.42454 t=44318
zhe bo 	这拨	c=1 d=1 t=26601
zhe ci 	這次	c=10 d=3.87306 t=42168
zhe die 	折叠	c=1 d=1 t=32682
zhe duan 	這段	c=5 d=1 t=30015
zhe duan shi jian 	這段時間	c=2 d=1 t=35051
zhe er 	這兒	c=0 d=0.1 t=19675
zhe er you 	這兒有	c=1 d=1 t=19676
zhe fang mian 	這方面	c=4 d=1 t=34741
zhe fen 	這份	c=2 d=1.84789 t=2803
zhe ge 	這個	c=654 d=6.34753 t=44384
zhe hai shi 	这還是	c=1 d=1 t=39497
zhe hui er 	這會兒	c=2 d=1 t=40404
zhe ji ge 	這幾個	c=1 d=1 t=9983
zhe jiang 	浙江	c=2 d=1.04372 t=41696
zhe jiao 	這叫	c=1 d=1 t=27341
zhe jiu 	這就	c=1 d=1 t=18347
zhe kuai 	這塊	c=2 d=1 t=36574
zhe li 	這裏	c=20 d=0.985112 t=44474
